Title,Authors,ISBN,Publishing Year,Price,Quantity
The Enchanted Forest,Emily Bronte,Mark Twain,978-1234567890,2005,250 Tk,12
Digital Transformation,John Doe,Jane Smith,978-2345678901,2018,300 Tk,20
Culinary Wonders,Gordon Ramsay,978-3456789012,2012,450 Tk,19
Galactic Adventures,Isaac Asimov,Arthur Clarke,978-4567890123,1998,220 Tk,10
Ancient Civilizations,Howard Carter,Elizabeth Peters,978-5678901234,2003,270 Tk,7
Web Development,Ethan Marcotte,Rachel Andrew,978-6789012345,2019,350 Tk,25
Quantum Mechanics Simplified,Richard Feynman,Stephen Hawking,978-7890123456,2015,500 Tk,17
The Art of Photography,Ansel Adams,Henri Cartier-Bresson,978-8901234567,2010,600 Tk,10
Financial Freedom,Robert Kiyosaki,Suze Orman,978-9012345678,2017,400 Tk,14
The History of Jazz,Miles Davis,John Coltrane,Herbie Hancock,978-0123456789,2001,550 Tk,11
